,Unnamed: 0,pair,lemma_sim,sent_sim,topic_sim,within_doc,wup_sim,coref_label,cos_sim_ab,cos_sim_ba,cos_sim,sem_total,syn_total,all_total,sem_label,LM_prediction,VIT_LM,LM_VIT,LM_SWIN,SWIN_LM,BEIT_LM,LM_BEIT,LM_CLIP,CLIP_LM,VIT+LM,SWIN+LM,BEIT+LM,CLIP+LM,VIT_LM_real,LM_VIT_real,SWIN_LM_real,LM_SWIN_real,BEIT_LM_real,LM_BEIT_real,CLIP_LM_real,LM_CLIP_real
0,0,"('36_1ecbplus.xml_15', '36_1ecbplus.xml_14')",1.0,0.5384615384615384,1.0,1.0,1.0,1,0.4577396214008331,0.649451494216919,0.5535955578088759,3.5535955578088765,2.5384615384615383,6.092057096270414,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
1,1,"('36_1ecbplus.xml_16', '36_11ecbplus.xml_31')",1.0,0.2,1.0,0.0,1.0,1,0.6804853081703186,0.620552122592926,0.6505187153816223,2.6505187153816223,1.2,3.8505187153816234,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
2,2,"('36_1ecbplus.xml_17', '36_11ecbplus.xml_32')",1.0,0.2,1.0,0.0,1.0,1,0.8120504021644592,0.7701839804649353,0.7911171913146973,2.7911171913146973,1.2,3.9911171913146974,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
3,3,"('36_1ecbplus.xml_42', '36_1ecbplus.xml_41')",1.0,0.5384615384615384,1.0,1.0,1.0,1,0.7896277904510498,0.7571718692779541,0.7733998298645021,3.773399829864502,2.5384615384615383,6.31186136832604,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
4,4,"('36_1ecbplus.xml_54', '36_11ecbplus.xml_32')",1.0,0.3076923076923077,1.0,0.0,0.0,1,0.672133207321167,0.6972450613975525,0.6846891343593597,1.6846891343593595,1.3076923076923077,2.9923814420516672,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
5,5,"('36_1ecbplus.xml_54', '36_1ecbplus.xml_17')",1.0,0.125,1.0,1.0,0.0,1,0.6810488104820251,0.7355651259422302,0.7083069682121277,2.708306968212128,2.125,4.833306968212128,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
6,6,"('36_1ecbplus.xml_55', '36_11ecbplus.xml_31')",1.0,0.3076923076923077,1.0,0.0,1.0,1,0.5048683285713196,0.4850526452064514,0.4949604868888855,2.494960486888885,1.3076923076923077,3.8026527945811934,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
7,7,"('36_1ecbplus.xml_55', '36_1ecbplus.xml_16')",1.0,0.125,1.0,1.0,1.0,1,0.5812796950340271,0.5832250118255615,0.5822523534297943,3.5822523534297943,2.125,5.707252353429794,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1
8,8,"('36_1ecbplus.xml_56', '36_11ecbplus.xml_32')",1.0,0.21052631578947367,1.0,0.0,1.0,1,0.7381436228752136,0.7652812600135803,0.751712441444397,2.751712441444397,1.2105263157894737,3.9622387572338704,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
9,9,"('36_1ecbplus.xml_56', '36_1ecbplus.xml_17')",1.0,0.13793103448275862,1.0,1.0,1.0,1,0.7326093316078186,0.7691143751144409,0.7508618533611298,3.7508618533611298,2.137931034482759,5.888792887843889,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
